,Cumulative number of case(s),Number of deaths,Number recovered
394,4,1,0
395,1,0,1
396,1,0,1
397,1,0,0
398,158,12,84
399,1,0,0
400,1,0,0
401,1,0,0
402,1,0,1
403,8,2,5
404,6,0,3
405,174,0,0
406,63,5,46
407,2,0,0
408,100,13,27
409,1418,64,1088
410,1232,56,243
411,23,0,7
412,5,0,1
413,6,0,4
414,1,0,0
415,3,0,2
416,1,0,0
417,1,0,0
418,4,1,0
419,1,0,1
420,1,0,1
421,1,0,1
422,162,13,85
423,1,0,0
424,1,0,0
425,1,0,0
426,1,0,1
427,8,2,5
428,6,0,3
429,193,0,0
430,63,5,46
431,2,0,0
432,103,13,37
433,1432,64,1094
434,1268,61,257
435,27,0,10
436,5,0,1
437,6,0,4
438,1,0,0
439,3,0,2
440,1,0,0
441,1,0,0
442,5,1,0
443,1,0,1
444,1,0,1
445,1,0,1
446,162,13,85
447,1,0,0
448,1,0,0
449,1,0,0
450,1,0,1
451,8,2,5
452,6,0,3
453,193,0,0
454,63,5,46
455,3,0,3
456,2,0,0
457,126,12,46
458,1457,65,1107
459,1297,65,272
460,27,0,10
461,5,0,1
462,6,0,4
463,1,0,0
464,1,0,0
465,3,0,2
466,2,0,0
467,1,0,0
468,5,1,0
469,3,0,3
470,1,0,1
471,1,0,1
472,1,0,1
473,167,15,91
474,1,0,0
475,1,0,0
476,1,0,0
477,1,0,1
478,8,2,5
479,6,0,3
480,199,0,0
481,63,5,46
482,3,0,3
483,2,0,0
484,132,12,54
485,1512,65,1140
486,1358,81,363
487,29,0,17
488,5,0,1
489,6,0,4
490,1,0,1
491,1,0,0
492,3,0,2
493,4,0,0
494,1,0,0
495,5,1,0
496,3,0,3
497,1,0,1
498,1,0,1
499,1,0,1
500,177,16,100
501,1,0,0
502,1,0,0
503,3,0,0
504,1,0,1
505,7,2,6
506,6,0,5
507,220,0,0
508,63,5,46
509,3,0,3
510,2,0,0
511,132,12,54
512,1512,65,1140
513,1358,81,363
514,29,0,17
515,5,0,1
516,6,0,4
517,1,0,1
518,1,0,0
519,3,0,2
520,4,0,0
521,1,0,0
522,5,1,0
523,3,0,3
524,1,0,1
525,1,0,1
526,1,0,1
527,177,16,100
528,1,0,0
529,1,0,0
530,3,0,0
531,1,0,1
532,7,2,6
533,6,0,5
534,220,0,0
535,63,5,46
536,3,0,3
537,2,0,0
538,132,12,54
539,1959,86,1187
540,1402,94,436
541,29,0,17
542,5,0,1
543,6,0,4
544,1,0,1
545,1,0,0
546,3,0,2
547,5,0,0
548,1,0,1
549,6,1,0
550,3,0,3
551,2,1,1
552,1,0,1
553,1,0,1
554,178,16,104
555,1,0,0
556,1,0,0
557,3,0,0
558,1,0,1
559,7,2,5
560,6,0,5
561,39,0,0
562,63,5,46
563,3,0,3
564,2,0,0
565,139,13,65
566,2001,92,1201
567,1434,99,461
568,29,0,21
569,5,0,1
570,7,0,6
571,1,0,1
572,1,0,0
573,3,0,2
574,2,0,0
575,1,0,1
576,6,1,0
577,3,0,3
578,2,1,1
579,1,0,1
580,1,0,1
581,186,16,110
582,1,0,0
583,1,0,0
584,3,0,0
585,1,0,1
586,7,2,5
587,6,0,5
588,38,0,0
589,63,5,46
590,4,0,3
591,2,0,0
592,140,13,65
593,2305,106,1231
594,1458,105,522
595,37,0,21
596,5,0,1
597,7,0,6
598,1,0,1
599,1,0,0
600,3,0,2
601,2,0,0
602,1,0,1
603,5,2,2
604,3,0,3
605,2,1,1
606,1,0,1
607,1,0,1
608,189,17,114
609,1,0,0
610,1,0,0
611,3,0,0
612,1,0,1
613,7,2,5
614,6,0,5
615,39,0,0
616,63,5,46
617,2,0,2
618,1,0,0
619,140,15,67
620,2422,110,1254
621,1488,109,567
622,37,0,21
623,5,0,1
624,7,0,6
625,1,0,1
626,1,0,1
627,4,0,3
628,2,0,0
629,1,0,1
630,5,2,2
631,3,0,3
632,2,1,1
633,1,0,1
634,1,0,1
635,192,19,118
636,1,0,0
637,1,0,1
638,3,0,2
639,1,0,1
640,8,2,5
641,6,0,6
642,37,0,0
643,63,5,49
644,2,0,2
645,1,0,0
646,140,15,74
647,2601,115,1277
648,1510,115,614
649,41,0,21
650,5,0,1
651,7,0,6
652,1,0,1
653,1,0,1
654,4,0,3
655,2,0,0
656,1,0,1
657,5,2,2
658,3,0,3
659,2,1,1
660,1,0,1
661,1,0,1
662,195,19,126
663,1,0,0
664,1,0,1
665,3,0,2
666,1,0,1
667,8,2,5
668,6,0,6
669,39,0,0
670,63,5,53
671,2,0,2
672,1,0,0
673,142,18,77
674,2753,122,1285
675,1527,121,632
676,49,0,25
677,5,0,1
678,7,0,6
679,1,0,1
680,1,0,1
681,4,0,3
682,2,0,0
683,1,0,1
684,5,2,2
685,5,0,3
686,4,2,1
687,1,0,1
688,1,0,1
689,198,21,126
690,1,0,0
691,1,0,1
692,3,0,2
693,1,0,1
694,7,2,5
695,6,0,6
696,41,0,0
697,63,5,53
698,2,0,2
699,1,0,0
700,142,18,77
701,2914,131,1299
702,1557,138,710
703,66,0,25
704,5,0,1
705,7,0,6
706,1,0,1
707,1,0,1
708,8,0,3
709,2,0,0
710,1,0,1
711,6,2,2
712,5,0,3
713,4,2,1
714,1,0,1
715,1,0,1
716,199,23,137
717,1,0,0
718,1,0,1
719,3,0,2
720,1,0,1
721,7,2,5
722,6,0,6
723,41,0,0
724,63,5,53
725,2,0,2
726,1,0,0
727,146,20,86
728,3303,148,1322
729,1572,150,759
730,66,0,25
731,5,0,1
732,7,0,6
733,1,0,1
734,1,0,1
735,9,0,4
736,2,0,0
737,1,0,1
738,6,2,3
739,5,0,3
740,4,2,1
741,1,0,1
742,1,0,0
743,1,0,1
744,201,24,139
745,1,0,0
746,1,0,1
747,3,0,2
748,1,0,1
749,7,2,5
750,6,0,6
751,41,0,0
752,63,5,53
753,2,0,2
754,1,0,0
755,148,20,87
756,3460,159,1332
757,1589,157,791
758,1,0,0
759,78,1,25
760,5,0,1
761,7,0,7
762,2,0,1
763,9,0,4
764,2,0,0
765,1,0,1
766,6,2,3
767,6,0,3
768,4,2,1
769,1,0,1
770,1,0,0
771,1,0,1
772,201,24,139
773,1,0,0
774,1,0,1
775,3,0,2
776,1,0,1
777,7,2,5
778,6,0,6
779,52,0,0
780,63,5,53
781,2,0,2
782,1,0,0
783,147,20,87
784,3638,170,1351
785,1600,162,834
786,1,0,0
787,89,3,25
788,5,0,1
789,7,0,7
790,2,0,1
791,9,0,4
792,2,0,0
793,1,0,1
794,6,2,3
795,6,0,3
796,4,2,1
797,1,0,0
798,1,0,1
799,1,0,0
800,1,0,1
801,201,25,143
802,1,0,0
803,1,0,1
804,3,0,2
805,1,0,1
806,7,2,5
807,6,0,6
808,54,0,23
809,63,5,56
810,2,0,2
811,1,0,0
812,149,22,93
813,3799,181,1372
814,1611,170,878
815,1,0,0
816,100,8,25
817,5,0,4
818,7,0,7
819,2,0,1
820,9,0,4
821,1,0,1
822,6,2,3
823,8,0,4
824,1,0,1
825,3,2,1
826,1,0,0
827,1,0,1
828,1,0,0
829,1,0,1
830,203,25,146
831,1,0,0
832,1,0,1
833,3,0,2
834,1,0,1
835,7,2,5
836,6,0,6
837,56,0,24
838,63,5,56
839,2,0,2
840,1,0,0
841,149,22,94
842,3971,190,1406
843,1621,179,898
844,1,0,0
845,100,8,25
846,5,0,4
847,7,0,7
848,2,0,1
849,9,0,4
850,1,0,1
851,6,2,3
852,8,0,4
853,1,0,1
854,3,2,1
855,1,0,0
856,1,0,1
857,1,0,0
858,1,0,1
859,203,25,147
860,1,0,1
861,1,0,1
862,3,0,2
863,1,0,1
